Date Time,Open,High,Low,Close,Volume
2012-01-04,8980.76,9025.66,8695.2,8695.99,34163502.0
2012-01-05,8653.1,8744.22,8566.06,8600.26,38634595.0
2012-01-06,8597.37,8643.29,8486.58,8634.42,33966195.0
2012-01-09,8638.53,8946.88,8532.67,8946.08,47651475.0
2012-01-10,8930.56,9291.31,8909.25,9281.25,73676108.0
2012-01-11,9278.05,9312.06,9186.16,9239.21,62727019.0
2012-01-12,9191.54,9344.74,9177.59,9200.93,51457391.0
2012-01-13,9216.96,9258.31,8951.72,9030.59,50289446.0
2012-01-16,8951.18,9024.42,8823.8,8827.47,33549450.0
2012-01-17,8835.88,9305.42,8762.57,9264.09,53731194.0
2012-01-18,9326.43,9399.02,9085.04,9115.27,55102651.0
2012-01-19,9119.88,9363.05,9078.98,9300.22,44392400.0
2012-01-20,9348.45,9503.37,9259.02,9466.14,43202923.0
2012-01-30,9482.21,9482.21,9274.85,9274.85,36081844.0
2012-01-31,9278.09,9324.8,9213.14,9303.65,31650934.0
2012-02-01,9277.79,9403.37,9173.07,9193.39,35154287.0
2012-02-02,9222.24,9382.13,9174.72,9382.13,39554032.0
2012-02-03,9349.28,9472.02,9292.78,9436.99,53844198.0
2012-02-06,9451.17,9526.79,9404.49,9448.64,53617472.0
2012-02-07,9393.76,9393.76,9206.86,9266.71,46397454.0
2012-02-08,9259.64,9605.2,9236.16,9557.58,56814772.0
2012-02-09,9548.22,9630.35,9493.93,9560.73,71655632.0
2012-02-10,9539.7,9699.3,9539.7,9590.95,63951923.0
2012-02-13,9463.95,9670.78,9420.4,9585.08,65322897.0
2012-02-14,9574.87,9597.08,9478.59,9543.78,57268530.0
2012-02-15,9523.65,9725.22,9515.79,9673.44,73929371.0
2012-02-16,9647.15,9727.03,9557.94,9622.83,74062103.0
2012-02-17,9681.45,9719.53,9553.59,9615.34,56136972.0
2012-02-20,9741.15,9755.76,9616.65,9616.65,69808096.0
2012-02-21,9632.44,9695.87,9539.83,9695.87,65340214.0
2012-02-22,9709.93,9865.77,9701.56,9862.54,92074202.0
2012-02-23,9859.43,9958.75,9840.05,9918.94,84915555.0
2012-02-24,9922.16,10131.13,9907.03,10124.15,90353415.0
2012-02-27,10157.18,10333.92,10157.18,10177.33,107766371.0
2012-02-28,10155.04,10233.07,10087.06,10161.86,87559764.0
2012-02-29,10126.68,10214.63,10048.79,10054.84,66990424.0
2012-03-01,10011.12,10125.67,10011.12,10060.96,55626022.0
2012-03-02,10078.82,10301.64,10078.82,10299.93,73227400.0
2012-03-05,10338.0,10379.46,10217.53,10226.44,81006401.0
2012-03-06,10193.23,10225.05,10070.49,10093.81,75558222.0
2012-03-07,9997.89,10173.66,9991.33,10054.87,70497997.0
2012-03-08,10092.13,10228.24,10084.52,10171.13,67964180.0
2012-03-09,10202.95,10334.38,10161.72,10334.38,73265502.0
2012-03-12,10322.95,10373.92,10228.39,10300.5,75021532.0
2012-03-13,10308.64,10427.24,10292.05,10427.24,76339377.0
2012-03-14,10487.29,10529.0,10063.79,10094.89,123093326.0
2012-03-15,10101.28,10173.38,10013.43,10086.56,82997248.0
2012-03-16,10115.31,10284.25,10071.58,10279.3,71500176.0
2012-03-19,10256.51,10306.46,10186.08,10296.17,69929508.0
2012-03-20,10255.25,10255.25,10110.38,10116.39,67661298.0
2012-03-21,10152.3,10225.54,10006.92,10090.44,64361747.0
2012-03-22,10082.25,10116.95,10008.88,10038.95,53629841.0
2012-03-23,10002.9,10029.44,9858.37,9885.25,52203875.0
2012-03-26,9871.89,9956.36,9871.89,9946.14,42039641.0
2012-03-27,9959.44,10008.68,9830.51,9841.38,45541596.0
2012-03-28,9800.29,9824.62,9515.98,9531.15,60785828.0
2012-03-29,9478.12,9565.01,9352.17,9418.22,53092682.0
2012-03-30,9426.64,9505.14,9365.53,9410.26,43297261.0
