第0类：
		investing	0.4015151515151515
		market	0.08957219251336897
		dummies	0.08957219251336897
		value	0.08957219251336897
		4th	0.04500891265597148
		way	0.04500891265597148
		share	0.04500891265597148
		returns	0.04500891265597148
		graham	0.04500891265597148
		middle	0.04500891265597148
第1类：
		rich	0.1403917910447761
		guide	0.09374999999999999
		book	0.09374999999999999
		dad's	0.09374999999999999
		neatest	0.04710820895522388
		only	0.04710820895522388
		guarantee	0.04710820895522388
		your	0.04710820895522388
		fair	0.04710820895522388
		what	0.04710820895522388
第2类：
		stock	0.1403917910447761
		real	0.09374999999999999
		estate	0.09374999999999999
		common	0.04710820895522388
		sense	0.04710820895522388
		from	0.04710820895522388
		buffett	0.04710820895522388
		beyond	0.04710820895522388
		invest	0.04710820895522388
		poor	0.04710820895522388
